Mississippi Valley State,SWAC
Alcorn State,SWAC
Prairie View,SWAC
Southern,SWAC
Jackson State,SWAC
Alabama A&M,SWAC
New Mexico State,WAC
Seattle,WAC
Utah Valley,WAC
Grand Canyon,WAC
Texas-Rio Grande Valley,WAC
Cal State Bakersfield,WAC
California Baptist,WAC
Missouri-Kansas City,WAC
Chicago State,WAC
Gonzaga,WCC
Loyola Marymount,WCC
San Francisco,WCC
San Diego,WCC
Pepperdine,WCC
Brigham Young,WCC
Pacific,WCC
Portland,WCC
Saint Mary's (CA),WCC
Santa Clara,WCC
Belmont,OVC
Murray State,OVC
Southeast Missouri State,OVC
Jacksonville State,OVC
Tennessee-Martin,OVC
Austin Peay,OVC
Eastern Illinois,OVC
Eastern Kentucky,OVC
Tennessee State,OVC
Morehead State,OVC
Southern Illinois-Edwardsville,OVC
Tennessee Tech,OVC
